Time,Node Power (W),IB Switch Power AC estimated (W),Total Power (W)
2023-04-28 22:09:13,194145,2470,196615
2023-04-28 22:09:14,195735,2470,198205
2023-04-28 22:09:15,195698,2470,198168
2023-04-28 22:09:16,195180,2470,197650
2023-04-28 22:09:17,194219,2470,196689
2023-04-28 22:09:18,192925,2470,195395
2023-04-28 22:09:19,194034,2470,196504
2023-04-28 22:09:20,193590,2470,196060
2023-04-28 22:09:21,193110,2470,195580
2023-04-28 22:09:22,192851,2470,195321
2023-04-28 22:09:23,193406,2470,195876
2023-04-28 22:09:24,193184,2470,195654
2023-04-28 22:09:25,193701,2470,196171
2023-04-28 22:09:26,193554,2470,196024
2023-04-28 22:09:27,192925,2470,195395
2023-04-28 22:09:28,194330,2470,196800
2023-04-28 22:09:29,194626,2470,197096
2023-04-28 22:09:31,194811,2470,197281
2023-04-28 22:09:31,195735,2470,198205
2023-04-28 22:09:33,194626,2470,197096
2023-04-28 22:09:33,192149,2470,194619
2023-04-28 22:09:34,191816,2470,194286
2023-04-28 22:09:35,191372,2470,193842
2023-04-28 22:09:37,191150,2470,193620
2023-04-28 22:09:37,193147,2470,195617
2023-04-28 22:09:38,193997,2470,196467
2023-04-28 22:09:40,194367,2470,196837
2023-04-28 22:09:40,194737,2470,197207
2023-04-28 22:09:42,194885,2470,197355
2023-04-28 22:09:43,195069,2470,197539
2023-04-28 22:09:44,195439,2470,197909
2023-04-28 22:09:44,195180,2470,197650
2023-04-28 22:09:46,194700,2470,197170
2023-04-28 22:09:47,194145,2470,196615
2023-04-28 22:09:47,193775,2470,196245
2023-04-28 22:09:48,193701,2470,196171
2023-04-28 22:09:50,193812,2470,196282
2023-04-28 22:09:51,193406,2470,195876
2023-04-28 22:09:52,193147,2470,195617
2023-04-28 22:09:53,193073,2470,195543
2023-04-28 22:09:54,191890,2470,194360
2023-04-28 22:09:55,191224,2470,193694
2023-04-28 22:09:56,190781,2470,193251
2023-04-28 22:09:57,190818,2470,193288
2023-04-28 22:09:58,191742,2470,194212
2023-04-28 22:09:59,191631,2470,194101
2023-04-28 22:10:00,191779,2470,194249
2023-04-28 22:10:01,194108,2470,196578
2023-04-28 22:10:02,193923,2470,196393
2023-04-28 22:10:03,194034,2470,196504
2023-04-28 22:10:04,192925,2470,195395
2023-04-28 22:10:05,193221,2470,195691
2023-04-28 22:10:06,192518,2470,194988
2023-04-28 22:10:07,193073,2470,195543
2023-04-28 22:10:08,193110,2470,195580
2023-04-28 22:10:09,193110,2470,195580
2023-04-28 22:10:10,192592,2470,195062
2023-04-28 22:10:11,193147,2470,195617
2023-04-28 22:10:12,193369,2470,195839
2023-04-28 22:10:13,193443,2470,195913
2023-04-28 22:10:14,193517,2470,195987
2023-04-28 22:10:15,194219,2470,196689
2023-04-28 22:10:16,194367,2470,196837
2023-04-28 22:10:17,194515,2470,196985
2023-04-28 22:10:18,194219,2470,196689
2023-04-28 22:10:19,192851,2470,195321
2023-04-28 22:10:20,192592,2470,195062
2023-04-28 22:10:21,193369,2470,195839
2023-04-28 22:10:22,193073,2470,195543
2023-04-28 22:10:23,193554,2470,196024
2023-04-28 22:10:24,193036,2470,195506
2023-04-28 22:10:25,193775,2470,196245
2023-04-28 22:10:26,193369,2470,195839
2023-04-28 22:10:27,192888,2470,195358
2023-04-28 22:10:28,192333,2470,194803
2023-04-28 22:10:29,192112,2470,194582
