time,power
2021-05-27T14:35:59+00:00,184690.0
2021-05-27T14:36:00+00:00,185310.0
2021-05-27T14:36:01+00:00,184645.0
2021-05-27T14:36:02+00:00,184263.0
2021-05-27T14:36:03+00:00,185078.0
2021-05-27T14:36:04+00:00,184222.0
2021-05-27T14:36:05+00:00,183948.0
2021-05-27T14:36:06+00:00,184487.0
2021-05-27T14:36:07+00:00,184323.0
2021-05-27T14:36:08+00:00,183585.0
2021-05-27T14:36:09+00:00,184490.0
2021-05-27T14:36:10+00:00,183430.0
2021-05-27T14:36:11+00:00,182917.0
2021-05-27T14:36:12+00:00,183220.0
2021-05-27T14:36:13+00:00,182508.0
2021-05-27T14:36:14+00:00,183014.0
2021-05-27T14:36:15+00:00,182330.0
2021-05-27T14:36:16+00:00,181495.0
2021-05-27T14:36:17+00:00,181415.0
2021-05-27T14:36:18+00:00,180618.0
2021-05-27T14:36:19+00:00,180827.0
2021-05-27T14:36:20+00:00,180050.0
2021-05-27T14:36:21+00:00,180464.0
2021-05-27T14:36:22+00:00,180467.0
2021-05-27T14:36:23+00:00,179340.0
2021-05-27T14:36:24+00:00,179099.0
2021-05-27T14:36:25+00:00,179123.0
2021-05-27T14:36:26+00:00,180216.0
2021-05-27T14:36:27+00:00,179298.0
2021-05-27T14:36:28+00:00,179311.0
2021-05-27T14:36:29+00:00,179847.0
2021-05-27T14:36:30+00:00,179897.0
2021-05-27T14:36:31+00:00,179685.0
2021-05-27T14:36:32+00:00,178274.0
2021-05-27T14:36:33+00:00,179528.0
2021-05-27T14:36:34+00:00,178522.0
2021-05-27T14:36:35+00:00,178157.0
2021-05-27T14:36:36+00:00,177805.0
2021-05-27T14:36:37+00:00,177387.0
2021-05-27T14:36:38+00:00,177220.0
2021-05-27T14:36:39+00:00,177744.0
2021-05-27T14:36:40+00:00,177536.0
2021-05-27T14:36:41+00:00,177314.0
2021-05-27T14:36:42+00:00,175656.0
2021-05-27T14:36:43+00:00,176499.0
2021-05-27T14:36:44+00:00,175918.0
2021-05-27T14:36:45+00:00,175753.0
2021-05-27T14:36:46+00:00,174426.0
2021-05-27T14:36:47+00:00,174868.0
2021-05-27T14:36:48+00:00,174084.0
2021-05-27T14:36:49+00:00,175234.0
2021-05-27T14:36:50+00:00,175591.0
2021-05-27T14:36:51+00:00,174873.0
2021-05-27T14:36:52+00:00,174555.0
2021-05-27T14:36:53+00:00,174063.0
2021-05-27T14:36:54+00:00,174275.0
2021-05-27T14:36:55+00:00,172589.0
2021-05-27T14:36:56+00:00,172981.0
2021-05-27T14:36:57+00:00,172872.0
2021-05-27T14:36:58+00:00,173167.0
2021-05-27T14:36:59+00:00,173388.0
2021-05-27T14:37:00+00:00,172390.0
2021-05-27T14:37:01+00:00,171596.0
2021-05-27T14:37:02+00:00,171001.0
2021-05-27T14:37:03+00:00,170422.0
2021-05-27T14:37:04+00:00,168857.0
2021-05-27T14:37:05+00:00,168391.0
2021-05-27T14:37:06+00:00,168814.0
2021-05-27T14:37:07+00:00,168676.0
2021-05-27T14:37:08+00:00,167717.0
